Order,Yr Sold,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,SalePrice,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Mo Sold,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Open Porch SF,Foundation,Bsmt Qual,Wood Deck SF,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Fireplace Qu,Garage Yr Blt,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Garage Type,Garage Finish,Has_Garage,Garage_Type_Encoded
699,2009,70,RM,57.0,6406,Pave,150000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,10,1Fam,2Story,5,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,36,BrkTil,TA,0,No,ALQ,421.0,Unf,0.0,269.0,690.0,GasA,TA,Gd,1939.0,868,690,0,1558,0.0,0.0,1,1,3,1,TA,7,Typ,Detchd,Unf,1,5
700,2009,70,RM,60.0,6600,Pave,107500,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,12,1Fam,2Story,5,4,1892,1965,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,287,Stone,TA,0,No,Unf,0.0,Unf,0.0,994.0,994.0,GasA,TA,,1985.0,1378,994,0,2372,0.0,0.0,2,0,4,2,TA,11,Min2,Attchd,RFn,1,1
701,2009,190,RM,63.0,7627,Pave,94550,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,10,2fmCon,2Story,4,6,1920,1950,Gable,CompShg,AsbShng,AsbShng,,0.0,Fa,0,BrkTil,Fa,0,No,Unf,0.0,Unf,0.0,600.0,600.0,GasA,Gd,,,1101,600,0,1701,0.0,0.0,2,0,4,2,Fa,8,Typ,NoGarage,,0,6
702,2009,90,RM,60.0,7596,Pave,124500,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,7,Duplex,2Story,5,5,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,360.0,TA,0,CBlock,TA,0,No,Unf,0.0,Unf,0.0,960.0,960.0,GasA,Gd,,1952.0,960,1000,0,1960,0.0,0.0,2,0,4,2,TA,10,Typ,Detchd,Unf,1,5
703,2009,60,RM,60.0,3378,Pave,135000,Reg,HLS,AllPub,Inside,Gtl,OldTown,Norm,9,1Fam,2Story,7,8,1946,1992,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,0,CBlock,TA,0,No,Unf,0.0,Unf,0.0,651.0,651.0,GasA,Gd,Gd,1947.0,707,682,0,1389,0.0,0.0,1,1,3,1,TA,6,Typ,Detchd,Unf,1,5
704,2009,50,RM,56.0,10134,Pave,103000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,7,1Fam,1.5Fin,5,5,1910,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,0,BrkTil,Fa,80,No,Unf,0.0,Unf,0.0,801.0,801.0,GasA,Gd,,,801,646,0,1447,0.0,0.0,1,0,3,1,TA,6,Typ,NoGarage,,0,6
705,2009,20,RM,60.0,6000,Pave,93000,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,2,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,,0.0,Fa,32,CBlock,Fa,0,No,Unf,0.0,Unf,0.0,936.0,936.0,GasA,TA,,1974.0,936,0,0,936,0.0,0.0,1,0,2,1,TA,4,Min2,Detchd,Unf,1,5
706,2009,50,RM,50.0,6000,Pave,129500,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,3,1Fam,1.5Fin,5,7,1950,1970,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,12,CBlock,TA,0,No,BLQ,384.0,Unf,0.0,384.0,768.0,GasA,TA,,1950.0,768,560,0,1328,0.0,0.0,1,1,3,1,TA,6,Typ,Detchd,Unf,1,5
707,2009,190,RM,50.0,6000,Pave,93000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,11,2fmCon,1.5Fin,5,4,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,0,CBlock,TA,0,No,Unf,0.0,Unf,0.0,811.0,811.0,GasA,TA,,1954.0,811,576,0,1387,0.0,0.0,2,0,3,2,Gd,7,Typ,BuiltIn,Unf,1,3
708,2009,30,RM,62.0,7404,Pave,80000,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,11,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,0,BrkTil,Fa,0,No,Unf,0.0,Unf,0.0,861.0,861.0,GasA,TA,,1920.0,861,0,0,861,0.0,0.0,1,0,2,1,TA,5,Typ,Detchd,Unf,1,5
709,2009,30,RM,50.0,5925,Pave,45000,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,10,1Fam,1Story,2,4,1940,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,0,BrkTil,,0,,,0.0,,0.0,0.0,0.0,GasA,Fa,,1965.0,612,0,0,612,0.0,0.0,1,0,1,1,TA,4,Typ,Detchd,Unf,1,5
710,2009,50,RM,50.0,5925,Pave,37900,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,5,1Fam,1.5Fin,3,6,1910,1950,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,0,BrkTil,TA,0,No,Unf,0.0,Unf,0.0,600.0,600.0,Grav,Fa,,,600,368,0,968,0.0,0.0,1,0,2,1,TA,6,Typ,NoGarage,,0,6
711,2009,30,RM,50.0,5784,Pave,91300,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,12,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,20,BrkTil,Fa,144,No,Unf,0.0,Unf,0.0,190.0,190.0,GasA,Gd,,1938.0,886,0,0,886,0.0,0.0,1,0,2,1,TA,4,Typ,Attchd,Unf,1,1
712,2009,30,RM,60.0,8520,Pave,99500,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,2,1Fam,1Story,5,8,1923,1950,Gable,CompShg,Stucco,Stucco,,0.0,Gd,0,PConc,Fa,0,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,TA,,1963.0,792,0,0,792,0.0,0.0,1,0,2,1,TA,5,Typ,Detchd,Unf,1,5
713,2009,190,RM,33.0,4456,Pave,113000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,6,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,0,BrkTil,TA,0,No,Unf,0.0,Unf,0.0,736.0,736.0,GasA,Gd,,,736,716,0,1452,0.0,0.0,2,0,2,3,TA,8,Typ,NoGarage,,0,6
714,2009,70,RM,60.0,9600,Pave,87500,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,6,1Fam,2Story,4,4,1910,1950,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,0,BrkTil,Fa,0,No,Unf,0.0,Unf,0.0,677.0,677.0,GasA,TA,,1974.0,833,677,0,1510,0.0,0.0,2,0,3,1,Gd,7,Typ,Detchd,Unf,1,5
715,2009,50,RM,50.0,3500,Pave,110000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,4,1Fam,1.5Fin,5,7,1947,1950,Gable,CompShg,AsbShng,AsbShng,,0.0,TA,35,CBlock,TA,0,No,LwQ,312.0,Unf,0.0,408.0,720.0,GasA,TA,,1948.0,720,564,0,1284,0.0,0.0,1,1,2,1,TA,5,Typ,Detchd,Unf,1,5
716,2009,75,RM,90.0,8100,Pave,106000,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,11,1Fam,2.5Unf,5,5,1898,1965,Hip,CompShg,AsbShng,AsbShng,,0.0,TA,156,PConc,TA,40,No,Unf,0.0,Unf,0.0,849.0,849.0,GasA,TA,,1910.0,1075,1063,0,2138,0.0,0.0,2,0,2,3,TA,11,Typ,Detchd,Unf,1,5
717,2009,70,RM,65.0,11700,Pave,265979,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,5,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,,0.0,Gd,0,Stone,TA,181,No,Unf,0.0,Unf,0.0,1240.0,1240.0,GasW,TA,Gd,1950.0,1320,1320,0,2640,0.0,0.0,1,1,4,1,Gd,8,Typ,Detchd,Unf,1,5
718,2009,70,RM,70.0,8400,Pave,160000,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,6,1Fam,2Story,6,7,1900,1950,Gable,CompShg,Stucco,BrkFace,,0.0,TA,235,BrkTil,Fa,0,Mn,Unf,0.0,Unf,0.0,917.0,917.0,GasA,Gd,,1930.0,1090,917,0,2007,0.0,0.0,2,0,3,1,Ex,8,Typ,Detchd,Unf,1,5
719,2009,70,RM,60.0,3600,Pave,119000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,5,1Fam,2Story,6,7,1917,2007,Gable,CompShg,Stucco,Stucco,,0.0,TA,103,BrkTil,TA,0,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,Ex,Gd,1917.0,664,624,0,1288,1.0,0.0,1,0,3,1,Ex,5,Typ,Attchd,Unf,1,1
720,2009,70,RM,121.0,17671,Pave,168000,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,11,1Fam,2Story,8,9,1882,1986,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,Gd,169,BrkTil,TA,0,No,BLQ,216.0,Unf,0.0,700.0,916.0,GasA,Gd,Gd,1925.0,916,826,0,1742,0.0,0.0,1,1,4,1,Gd,8,Typ,Attchd,Unf,1,1
721,2009,30,C (all),,3300,Pave,58500,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,6,1Fam,1Story,4,3,1910,1950,Gable,CompShg,Stucco,Stucco,,0.0,TA,33,BrkTil,TA,0,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,Ex,Gd,,816,0,0,816,0.0,0.0,1,0,2,1,TA,5,Typ,NoGarage,,0,6
722,2009,70,RM,50.0,9000,Pave,143000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,7,1Fam,2Story,7,9,1920,1988,Hip,CompShg,VinylSd,VinylSd,,0.0,TA,0,PConc,TA,0,No,ALQ,624.0,Unf,0.0,26.0,650.0,GasA,Ex,,1930.0,832,650,0,1482,0.0,1.0,1,0,3,1,TA,7,Typ,Detchd,Unf,1,5
723,2009,30,RM,60.0,7200,Pave,85000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,6,1Fam,1Story,5,4,1910,2006,Hip,CompShg,MetalSd,Stucco,,0.0,TA,30,BrkTil,TA,0,No,ALQ,247.0,Rec,465.0,310.0,1022.0,GasW,TA,,1956.0,1022,0,0,1022,1.0,0.0,1,0,2,1,TA,4,Maj2,Detchd,Unf,1,5
724,2009,50,RM,98.0,8820,Pave,124900,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,9,1Fam,1.5Fin,5,6,1890,1996,Hip,CompShg,VinylSd,VinylSd,,0.0,TA,0,BrkTil,TA,48,No,LwQ,1088.0,Unf,0.0,0.0,1088.0,GasA,TA,,1963.0,1188,561,120,1869,0.0,0.0,1,0,2,1,TA,7,Typ,Detchd,Unf,1,5
725,2009,50,RM,60.0,5400,Pave,119000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,9,1Fam,1.5Fin,6,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,Fa,0,BrkTil,TA,0,No,Unf,0.0,Unf,0.0,972.0,972.0,GasA,Ex,,1920.0,1044,0,436,1480,0.0,0.0,1,0,3,1,TA,6,Typ,Detchd,Unf,1,5
726,2009,70,RM,60.0,9720,Pave,146500,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,9,1Fam,2Story,6,7,1910,2002,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,0,PConc,TA,0,No,Unf,0.0,Unf,0.0,741.0,741.0,GasA,Ex,,1950.0,780,741,0,1521,0.0,0.0,1,0,4,1,Gd,8,Typ,Detchd,Unf,1,5
727,2009,30,C (all),60.0,7879,Pave,34900,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,11,1Fam,1Story,4,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,523,CBlock,TA,0,No,Rec,495.0,Unf,0.0,225.0,720.0,GasA,TA,,,720,0,0,720,0.0,0.0,1,0,2,1,TA,4,Typ,NoGarage,,0,6
728,2009,30,C (all),72.0,9392,Pave,44000,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,9,1Fam,1Story,3,3,1900,1950,Mansard,CompShg,AsbShng,AsbShng,,0.0,TA,36,CBlock,Fa,0,No,Unf,0.0,Unf,0.0,245.0,245.0,GasA,TA,,,797,0,0,797,0.0,0.0,1,0,2,1,TA,5,Typ,NoGarage,,0,6
729,2009,70,RL,144.0,21384,Pave,223500,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,5,1Fam,2Story,5,6,1923,2004,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,312,CBlock,TA,0,Gd,GLQ,1309.0,Unf,0.0,15.0,1324.0,GasA,Ex,TA,1923.0,1072,504,0,1576,2.0,0.0,1,1,3,1,Gd,6,Typ,Attchd,RFn,1,1
730,2009,30,RL,,6615,Pave,149000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,9,1Fam,1Story,6,6,1923,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,61,BrkTil,TA,266,No,Unf,0.0,Unf,0.0,1022.0,1022.0,GasA,TA,Gd,1923.0,1432,0,0,1432,0.0,0.0,1,0,3,1,Gd,6,Typ,BuiltIn,Unf,1,3
731,2009,50,RL,55.0,7264,Pave,205000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,10,1Fam,1.5Fin,7,7,1925,2007,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,Gd,0,BrkTil,TA,74,No,Unf,0.0,Unf,0.0,952.0,952.0,GasW,Gd,,1978.0,952,596,0,1548,0.0,0.0,2,1,3,1,Ex,5,Typ,Detchd,Unf,1,5
732,2009,70,RL,50.0,4960,Pave,137000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,RRAn,5,1Fam,1.5Fin,5,7,1930,1982,Gable,CompShg,WdShing,Wd Shng,,0.0,TA,60,CBlock,TA,244,No,Unf,0.0,Unf,0.0,297.0,297.0,GasA,Ex,Gd,1955.0,1001,653,0,1654,0.0,0.0,2,0,3,1,TA,7,Typ,Detchd,Unf,1,5
733,2009,30,RL,,8854,Pave,121000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,5,1Fam,1.5Unf,6,6,1916,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,98,BrkTil,TA,0,No,Unf,0.0,Unf,0.0,952.0,952.0,Grav,Fa,Gd,1916.0,952,0,0,952,0.0,0.0,1,0,2,1,Fa,4,Typ,Detchd,Unf,1,5
734,2009,50,RM,50.0,6000,Pave,128000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,7,1Fam,1.5Fin,4,6,1936,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,0,BrkTil,TA,0,No,BLQ,672.0,Unf,0.0,0.0,672.0,GasA,TA,,1936.0,757,567,0,1324,0.0,0.0,1,0,3,1,TA,6,Typ,Detchd,Unf,1,5
735,2009,50,RM,50.0,6000,Pave,134900,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,7,1Fam,1.5Fin,6,9,1937,2000,Gable,CompShg,MetalSd,MetalSd,,0.0,Gd,0,BrkTil,TA,210,No,Unf,0.0,Unf,0.0,698.0,698.0,GasA,TA,,1999.0,786,390,0,1176,0.0,0.0,1,0,2,1,TA,4,Typ,Detchd,Unf,1,5
736,2009,50,RM,50.0,6000,Pave,117000,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,5,1Fam,1.5Fin,5,8,1925,1997,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,0,BrkTil,TA,0,No,Unf,0.0,Unf,0.0,884.0,884.0,GasA,Ex,Fa,1960.0,884,464,0,1348,1.0,0.0,1,0,3,1,TA,5,Typ,Detchd,Unf,1,5
737,2009,50,RM,50.0,6000,Pave,132500,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,5,1Fam,1.5Fin,6,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,0,CBlock,TA,45,No,Unf,0.0,Unf,0.0,780.0,780.0,GasA,Ex,Gd,1939.0,825,587,0,1412,0.0,0.0,1,0,4,1,TA,6,Typ,Detchd,Unf,1,5
738,2009,50,RM,60.0,6000,Pave,93000,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,6,1Fam,1.5Fin,5,5,1924,1950,Gable,CompShg,Stucco,Stucco,BrkFace,444.0,TA,0,BrkTil,TA,0,No,Rec,220.0,Unf,0.0,248.0,468.0,GasA,Gd,,1924.0,822,320,0,1142,0.0,0.0,1,0,3,1,TA,6,Typ,Attchd,Fin,1,1
739,2009,45,RM,50.0,6000,Pave,119000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,1,1Fam,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,Gd,0,PConc,TA,0,No,Unf,0.0,Unf,0.0,884.0,884.0,GasA,Gd,,1926.0,904,0,0,904,0.0,0.0,1,0,2,1,TA,4,Typ,Detchd,Unf,1,5
740,2009,30,RM,60.0,6911,Pave,100000,Reg,Lvl,AllPub,FR2,Gtl,BrkSide,Feedr,10,1Fam,1Story,5,5,1924,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,0,PConc,TA,0,Mn,LwQ,405.0,Unf,0.0,740.0,1145.0,GasA,TA,,1965.0,1301,0,0,1301,0.0,0.0,1,0,2,1,Fa,5,Min1,Detchd,Unf,1,5
741,2009,50,RM,51.0,6120,Pave,141500,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,4,1Fam,1.5Fin,5,6,1936,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,0,BrkTil,TA,112,No,Unf,0.0,Unf,0.0,927.0,927.0,GasA,TA,,1995.0,1067,472,0,1539,0.0,0.0,1,1,3,1,TA,5,Typ,Detchd,Unf,1,5
742,2009,50,RM,51.0,6120,Pave,133000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,7,1Fam,1.5Fin,4,7,1935,1995,Gable,CompShg,AsbShng,AsbShng,,0.0,TA,0,BrkTil,TA,0,No,Unf,0.0,Unf,0.0,884.0,884.0,GasA,Ex,,1935.0,989,584,0,1573,0.0,0.0,1,0,3,1,Gd,6,Typ,Detchd,Unf,1,5
743,2009,30,RM,51.0,6120,Pave,60000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,1,1Fam,1Story,2,3,1936,1950,Gable,CompShg,AsbShng,AsbShng,,0.0,Fa,0,BrkTil,TA,0,No,Unf,0.0,Unf,0.0,264.0,264.0,Grav,Fa,Po,,800,0,0,800,0.0,0.0,1,0,1,1,Fa,4,Maj1,NoGarage,,0,6
744,2009,30,RM,51.0,6120,Pave,105000,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,11,1Fam,1Story,5,7,1931,1993,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,0,BrkTil,TA,48,No,BLQ,209.0,Unf,0.0,506.0,715.0,GasA,TA,,1931.0,875,0,0,875,1.0,0.0,1,0,2,1,TA,5,Typ,Detchd,Unf,1,5
745,2009,30,RM,51.0,6120,Pave,115000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,3,1Fam,1Story,5,6,1925,1999,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,15,BrkTil,TA,0,No,Unf,0.0,Unf,0.0,960.0,960.0,GasA,Gd,,1926.0,995,0,0,995,0.0,0.0,1,0,2,1,TA,5,Typ,Detchd,Unf,1,5
746,2009,50,RM,51.0,6120,Pave,150000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,2,1Fam,1.5Fin,5,6,1938,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,0,BrkTil,TA,189,No,LwQ,273.0,Unf,0.0,679.0,952.0,GasA,TA,Gd,1938.0,994,588,0,1582,0.0,0.0,2,0,3,1,TA,6,Typ,Detchd,Unf,1,5
747,2009,30,RM,50.0,8635,Pave,126500,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,8,1Fam,1Story,5,5,1925,1950,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,0,BrkTil,TA,0,No,LwQ,134.0,Unf,0.0,938.0,1072.0,GasA,TA,,1982.0,1072,0,0,1072,1.0,0.0,1,0,2,1,TA,5,Typ,Detchd,Unf,1,5
748,2009,75,RL,,11888,Pave,214500,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,PosN,7,1Fam,2.5Unf,6,6,1916,1994,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,TA,60,BrkTil,TA,0,No,Unf,0.0,Unf,0.0,844.0,844.0,GasA,Gd,,1930.0,1445,689,0,2134,0.0,0.0,2,0,5,1,Gd,10,Typ,Detchd,Unf,1,5
749,2009,70,RL,60.0,11414,Pave,167500,IR1,Lvl,AllPub,Corner,Gtl,BrkSide,RRAn,10,1Fam,2Story,7,8,1910,1993,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,135,BrkTil,Gd,509,No,Unf,0.0,Unf,0.0,728.0,728.0,GasA,TA,,1997.0,1136,883,0,2019,0.0,0.0,1,0,3,1,Gd,8,Typ,Detchd,Unf,1,5
750,2009,70,RM,57.0,8094,Pave,155000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,6,1Fam,2Story,6,6,1915,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,0,PConc,TA,0,No,Unf,0.0,Unf,0.0,1048.0,1048.0,GasA,Gd,,1930.0,1048,720,0,1768,0.0,0.0,2,0,3,1,TA,8,Typ,Detchd,Unf,1,5
751,2009,70,RM,50.0,2500,Pave,155000,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,6,1Fam,2Story,7,8,1915,2005,Gable,CompShg,Stucco,Stucco,,0.0,Gd,0,PConc,TA,0,No,ALQ,299.0,Unf,0.0,611.0,910.0,GasA,Ex,Gd,1915.0,916,910,0,1826,1.0,0.0,1,1,4,1,Ex,7,Min2,Attchd,Unf,1,1
752,2009,70,RM,68.0,9928,Pave,179900,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,6,1Fam,2Story,7,8,1915,1994,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,28,BrkTil,TA,24,No,Unf,0.0,Unf,0.0,672.0,672.0,GasA,Fa,,1915.0,1272,672,0,1944,0.0,0.0,2,0,3,1,TA,8,Min2,Detchd,Unf,1,5
753,2009,75,RM,92.0,5520,Pave,104000,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,7,1Fam,2.5Fin,6,6,1912,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,198,CBlock,TA,0,No,Unf,0.0,Unf,0.0,755.0,755.0,GasA,Ex,,,929,929,371,2229,0.0,0.0,1,0,5,1,TA,8,Typ,NoGarage,,0,6
754,2009,90,RM,50.0,3000,Pave,62500,Reg,Bnk,AllPub,Inside,Gtl,OldTown,Norm,9,Duplex,2Story,5,1,1922,1950,Hip,CompShg,MetalSd,MetalSd,,0.0,TA,56,BrkTil,TA,0,No,Unf,0.0,Unf,0.0,1040.0,1040.0,GasA,TA,,,1088,1040,0,2128,0.0,0.0,2,0,4,2,TA,11,Sev,NoGarage,,0,6
755,2009,70,RM,57.0,6876,Pave,149000,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,8,1Fam,2Story,6,5,1927,1950,Gable,CompShg,Plywood,Plywood,,0.0,TA,0,CBlock,TA,0,No,BLQ,522.0,Unf,0.0,198.0,720.0,GasA,Fa,,1927.0,1146,784,0,1930,1.0,0.0,2,0,4,1,TA,8,Typ,Attchd,Unf,1,1
756,2009,30,RM,52.0,6240,Pave,103000,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,1,1Fam,1.5Fin,4,5,1925,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,23,CBlock,TA,0,No,BLQ,152.0,Unf,0.0,628.0,780.0,GasA,TA,,1962.0,848,0,360,1208,0.0,0.0,1,0,2,1,TA,5,Typ,Detchd,Unf,1,5
757,2009,70,RM,,5775,Pave,123000,IR2,Bnk,AllPub,Corner,Mod,OldTown,Feedr,2,1Fam,2Story,6,7,1915,2002,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,24,BrkTil,TA,0,No,Unf,0.0,Unf,0.0,483.0,483.0,GasA,Ex,,1915.0,741,686,0,1427,0.0,0.0,1,0,3,1,Gd,7,Typ,Attchd,Unf,1,1
758,2009,190,RM,41.0,5852,Pave,97500,IR3,Bnk,AllPub,Corner,Gtl,OldTown,Feedr,5,2fmCon,2.5Unf,7,5,1902,2000,Gable,CompShg,MetalSd,MetalSd,Stone,188.0,TA,188,BrkTil,TA,0,No,Rec,169.0,Unf,0.0,851.0,1020.0,GasA,TA,,,978,886,0,1864,0.0,0.0,2,1,6,1,TA,9,Typ,NoGarage,,0,6
759,2009,50,RM,60.0,5160,Pave,135000,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,8,1Fam,1.5Fin,6,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,0,BrkTil,TA,0,No,Unf,0.0,Unf,0.0,1204.0,1204.0,GasA,TA,,1927.0,1204,462,0,1666,0.0,0.0,1,0,3,1,TA,4,Typ,Detchd,Unf,1,5
760,2009,85,RM,86.0,5160,Pave,70000,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,7,1Fam,SFoyer,4,6,1923,1950,Hip,CompShg,MetalSd,MetalSd,,0.0,TA,0,PConc,Gd,0,Av,BLQ,749.0,Rec,63.0,46.0,858.0,GasA,TA,,,892,0,0,892,1.0,0.0,1,0,1,1,Gd,5,Min2,NoGarage,,0,6
761,2009,190,RM,60.0,10320,Pave,116000,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Artery,2,2fmCon,2Story,6,7,1915,1965,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,0,CBlock,TA,0,No,Rec,276.0,ALQ,262.0,160.0,698.0,GasA,Ex,,1915.0,754,649,0,1403,1.0,0.0,1,1,3,1,TA,7,Typ,Detchd,Unf,1,5
762,2009,20,RL,50.0,4280,Pave,88750,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,9,1Fam,1Story,4,9,1946,2001,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,0,CBlock,Fa,0,No,Unf,0.0,Unf,0.0,560.0,560.0,GasA,Ex,,1946.0,704,0,0,704,0.0,1.0,1,0,2,1,Fa,4,Typ,CarPort,Unf,1,4
