Order,Yr Sold,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,SalePrice,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Mo Sold,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Open Porch SF,Foundation,Bsmt Qual,Wood Deck SF,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Fireplace Qu,Garage Yr Blt,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Garage Type,Garage Finish
834,2009,60,RL,,16698,Pave,233500,IR1,HLS,AllPub,CulDSac,Mod,ClearCr,Norm,6,1Fam,2Story,7,5,1992,1993,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,193,PConc,Gd,150,Av,GLQ,800,Unf,0,649,1449,GasA,Gd,TA,1992,944,815,0,1759,1,0,2,1,3,1,Gd,7,Typ,Attchd,Unf
835,2009,60,RL,,28698,Pave,185000,IR2,Low,AllPub,CulDSac,Sev,ClearCr,Norm,6,1Fam,2Story,5,5,1967,1967,Flat,Tar&Grv,Plywood,Plywood,None,0,TA,0,PConc,TA,486,Gd,LwQ,249,ALQ,764,0,1013,GasA,TA,NA,1967,1160,966,0,2126,0,1,2,1,3,1,TA,7,Min2,Attchd,Fin
836,2009,20,RL,82,12464,Pave,152000,IR2,Low,AllPub,Corner,Mod,CollgCr,Norm,11,1Fam,1Story,5,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0,TA,0,PConc,Gd,168,No,GLQ,732,Unf,0,308,1040,GasA,Gd,NA,2000,1040,0,0,1040,1,0,1,0,3,1,Gd,6,Typ,Detchd,Unf
837,2009,20,RL,65,9757,Pave,143000,Reg,Low,AllPub,Inside,Mod,CollgCr,Norm,10,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0,TA,0,PConc,TA,66,No,ALQ,755,Unf,0,235,990,GasA,Ex,NA,1995,990,0,0,990,1,0,1,0,3,1,TA,5,Typ,Attchd,RFn
838,2009,60,RL,65,15426,Pave,231500,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,8,1Fam,2Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,0,TA,99,PConc,Gd,276,No,GLQ,821,Unf,0,107,928,GasA,Ex,NA,1997,928,836,0,1764,1,0,2,1,3,1,Gd,7,Typ,Attchd,RFn
839,2009,60,RL,43,10667,Pave,212000,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,PosN,4,1Fam,2Story,7,6,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,61,PConc,Gd,158,Av,GLQ,385,ALQ,344,70,799,GasA,Ex,TA,1996,827,834,0,1661,1,0,2,1,3,1,Gd,6,Typ,Attchd,RFn
840,2009,20,RL,65,14753,Pave,207000,IR2,Low,AllPub,Inside,Gtl,CollgCr,PosN,12,1Fam,1Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,81,PConc,Gd,0,Mn,GLQ,950,Unf,0,513,1463,GasA,Ex,NA,1998,1463,0,0,1463,1,0,2,0,3,1,TA,5,Typ,Attchd,Fin
841,2009,20,RL,112,10859,Pave,145000,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,6,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0,TA,64,PConc,Gd,392,No,Unf,0,Unf,0,1097,1097,GasA,Ex,NA,1995,1097,0,0,1097,0,0,1,1,3,1,TA,6,Typ,Attchd,Unf
842,2009,20,RL,60,8072,Pave,138000,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,5,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0,TA,64,PConc,Gd,0,No,ALQ,746,Unf,0,244,990,GasA,Ex,NA,2000,990,0,0,990,1,0,1,0,3,1,TA,5,Typ,Detchd,Unf
843,2009,60,RL,80,10400,Pave,197900,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,3,1Fam,2Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,36,PConc,Gd,198,Av,Unf,0,Unf,0,866,866,GasA,Ex,NA,1998,866,913,0,1779,0,0,2,1,3,1,Gd,6,Typ,Attchd,RFn
844,2009,20,RL,78,10335,Pave,204000,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,6,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,183,Gd,29,PConc,Gd,144,Gd,GLQ,679,Unf,0,811,1490,GasA,Ex,NA,1999,1501,0,0,1501,1,0,2,0,3,1,Gd,6,Typ,Attchd,RFn
845,2009,20,RL,68,9017,Pave,192000,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,9,1Fam,1Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,35,PConc,Gd,0,Av,GLQ,560,Unf,0,871,1431,GasA,Ex,NA,1999,1431,0,0,1431,1,0,2,0,3,1,Gd,6,Typ,Attchd,Fin
846,2009,60,RL,70,8750,Pave,200000,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,4,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,120,TA,96,PConc,Gd,150,No,GLQ,606,Unf,0,322,928,GasA,Ex,TA,1998,928,844,0,1772,1,0,2,1,3,1,TA,7,Typ,Attchd,RFn
847,2009,60,RL,68,8935,Pave,195000,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,7,1Fam,2Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,95,Gd,68,PConc,Gd,144,No,Unf,0,Unf,0,831,831,GasA,Ex,NA,2002,831,829,0,1660,0,0,2,1,3,1,Gd,7,Typ,Attchd,RFn
848,2009,20,RL,67,9808,Pave,227000,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,3,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,110,Gd,72,PConc,Gd,0,No,GLQ,788,Unf,0,785,1573,GasA,Ex,NA,2002,1573,0,0,1573,1,0,2,0,3,1,Gd,6,Typ,Attchd,RFn
849,2009,60,RL,79,12420,Pave,230000,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,6,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,45,PConc,Gd,0,No,GLQ,666,Unf,0,278,944,GasA,Ex,NA,2001,944,896,0,1840,1,0,2,1,3,1,Gd,6,Typ,Attchd,RFn
850,2009,20,RL,67,16285,Pave,187100,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,6,1Fam,1Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,33,PConc,Gd,0,No,Unf,0,Unf,0,1413,1413,GasA,Ex,NA,2001,1430,0,0,1430,0,0,2,0,3,1,Gd,6,Typ,Attchd,RFn
851,2009,20,RL,65,10739,Pave,203000,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,4,1Fam,1Story,7,5,2002,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,68,Gd,40,PConc,Gd,144,No,GLQ,1259,Unf,0,172,1431,GasA,Ex,NA,2002,1444,0,0,1444,1,0,2,0,3,1,Gd,6,Typ,Attchd,RFn
852,2009,20,RL,75,11166,Pave,201000,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,7,1Fam,1Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,180,Gd,114,PConc,Gd,0,Mn,GLQ,24,Unf,0,1468,1492,GasA,Ex,TA,2001,1492,0,0,1492,0,0,2,0,3,1,Gd,6,Typ,Attchd,RFn
853,2009,20,RL,60,8430,Pave,124000,Reg,HLS,AllPub,Inside,Mod,CollgCr,Norm,8,1Fam,1Story,5,5,1978,1978,Gable,CompShg,HdBoard,HdBoard,BrkFace,136,TA,0,CBlock,Gd,0,No,Rec,616,Unf,0,424,1040,GasA,TA,NA,,1040,0,0,1040,0,0,2,0,3,1,TA,5,Typ,NA,NA
854,2009,20,RL,,16269,Pave,140000,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,7,1Fam,1Story,5,5,1978,1978,Gable,CompShg,MetalSd,MetalSd,BrkFace,76,TA,0,BrkTil,Gd,72,Av,GLQ,625,Unf,0,282,907,GasA,TA,NA,1978,907,0,0,907,0,0,1,0,3,1,TA,5,Typ,Attchd,Unf
855,2009,20,RL,76,6950,Pave,134900,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,10,1Fam,1Story,5,7,1979,1979,Gable,CompShg,HdBoard,HdBoard,BrkFace,40,TA,0,CBlock,TA,0,No,ALQ,710,BLQ,72,132,914,GasA,TA,NA,1979,914,0,0,914,1,0,1,0,2,1,TA,5,Typ,Attchd,Unf
856,2009,20,RL,61,8800,Pave,150500,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,9,1Fam,1Story,5,7,1977,2008,Gable,CompShg,HdBoard,HdBoard,None,0,TA,0,CBlock,Gd,0,Mn,LwQ,532,Rec,144,364,1040,GasA,TA,NA,1977,1040,0,0,1040,0,0,2,0,3,1,Gd,5,Typ,Detchd,Unf
857,2009,20,RL,,7000,Pave,136500,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,7,1Fam,1Story,5,8,1978,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,90,Gd,0,CBlock,TA,0,No,ALQ,646,Unf,0,218,864,GasA,Ex,NA,1978,864,0,0,864,1,0,1,0,3,1,TA,6,Typ,Attchd,Unf
858,2009,20,RL,,9286,Pave,143500,IR1,Lvl,AllPub,CulDSac,Mod,CollgCr,Norm,10,1Fam,1Story,5,7,1977,1989,Gable,CompShg,HdBoard,Plywood,None,0,TA,0,CBlock,Gd,173,Av,ALQ,196,Unf,0,1072,1268,GasA,TA,NA,1978,1268,0,0,1268,0,0,1,1,3,1,Gd,5,Typ,Detchd,Unf
859,2009,20,RL,36,15523,Pave,133500,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,8,1Fam,1Story,5,6,1972,1972,Gable,CompShg,HdBoard,Plywood,None,0,TA,0,CBlock,TA,0,Av,BLQ,460,Unf,0,404,864,GasA,Ex,Fa,1972,864,0,0,864,1,0,1,0,3,1,TA,5,Typ,Attchd,Unf
860,2009,20,RL,60,7200,Pave,123000,Reg,Low,AllPub,Inside,Gtl,CollgCr,Norm,9,1Fam,1Story,5,5,1972,1972,Hip,CompShg,MetalSd,MetalSd,None,0,TA,0,CBlock,TA,215,Av,Rec,777,Unf,0,117,894,GasA,TA,NA,1985,894,0,0,894,0,0,1,0,2,1,TA,6,Typ,Detchd,RFn
861,2009,85,RL,60,7200,Pave,133900,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,4,1Fam,SFoyer,5,8,1972,2003,Gable,CompShg,WdShing,HdBoard,None,0,TA,0,CBlock,Gd,192,Av,GLQ,660,Unf,0,108,768,GasA,Gd,NA,1974,768,0,0,768,0,1,1,0,2,1,TA,5,Typ,Detchd,Fin
862,2009,85,RL,70,8445,Pave,133000,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,3,1Fam,SFoyer,5,7,1972,2007,Gable,CompShg,HdBoard,Wd Shng,None,0,TA,0,CBlock,Gd,58,Av,GLQ,656,Unf,0,112,768,GasA,TA,NA,1988,768,0,0,768,1,0,1,0,2,1,TA,5,Typ,Detchd,Unf
863,2009,20,RL,90,11664,Pave,250000,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,9,1Fam,1Story,7,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,None,0,Gd,93,PConc,Gd,262,Av,GLQ,1234,Unf,0,335,1569,GasA,Ex,NA,2002,1611,0,0,1611,1,0,2,0,3,1,Gd,6,Typ,Attchd,RFn
864,2009,60,RL,,12334,Pave,254750,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,6,1Fam,2Story,8,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,198,Gd,132,PConc,Gd,192,Av,Unf,0,Unf,0,1068,1068,GasA,Ex,Gd,2003,1068,1116,0,2184,0,0,2,1,4,1,Gd,8,Typ,BuiltIn,RFn
865,2009,20,RL,,11838,Pave,236500,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,6,1Fam,1Story,8,5,2001,2001,Hip,CompShg,VinylSd,VinylSd,None,0,Gd,151,PConc,Gd,202,Av,Unf,0,Unf,0,1753,1753,GasA,Ex,TA,2001,1788,0,0,1788,0,0,2,0,3,1,Ex,7,Typ,Attchd,RFn
866,2009,60,RL,,11885,Pave,261500,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,11,1Fam,2Story,8,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,108,Gd,122,PConc,Gd,160,Av,GLQ,990,Unf,0,309,1299,GasA,Ex,TA,2001,1299,573,0,1872,1,0,2,1,3,1,Ex,7,Typ,BuiltIn,RFn
867,2009,60,RL,,11050,Pave,313000,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,PosN,5,1Fam,2Story,9,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,204,Gd,142,PConc,Ex,253,Mn,GLQ,904,Unf,0,536,1440,GasA,Ex,Ex,2000,1476,677,0,2153,1,0,2,1,3,1,Ex,8,Typ,Attchd,Fin
868,2009,60,RL,70,8749,Pave,198500,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,11,1Fam,2Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,,,Gd,48,PConc,Gd,0,No,Unf,0,Unf,0,840,840,GasA,Ex,NA,2002,840,885,0,1725,0,0,2,1,3,1,Gd,6,Typ,Attchd,RFn
869,2009,60,RL,,11250,Pave,211000,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,5,1Fam,2Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,43,PConc,Gd,256,No,Unf,0,Unf,0,944,944,GasA,Ex,NA,2001,944,926,0,1870,0,0,2,1,3,1,Gd,6,Typ,Attchd,RFn
870,2009,20,RL,90,15750,Pave,220000,Reg,Lvl,AllPub,FR3,Gtl,CollgCr,Feedr,6,1Fam,1Story,8,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,260,Gd,34,PConc,Gd,135,Gd,GLQ,1246,Unf,0,216,1462,GasA,Ex,TA,1999,1513,0,0,1513,1,0,2,0,2,1,Gd,5,Typ,Attchd,Fin
871,2009,20,RL,73,11883,Pave,203000,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,6,1Fam,1Story,7,5,1996,1996,Hip,CompShg,VinylSd,VinylSd,BrkFace,196,Gd,66,PConc,Gd,115,Gd,GLQ,690,Unf,0,814,1504,GasA,Ex,TA,1996,1504,0,0,1504,1,0,2,0,3,1,Gd,6,Typ,Attchd,Fin
872,2009,20,RL,,12782,Pave,279500,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,6,1Fam,1Story,8,5,2002,2003,Hip,CompShg,HdBoard,HdBoard,BrkFace,164,Gd,144,PConc,Ex,194,Gd,GLQ,1360,Unf,0,462,1822,GasA,Ex,Gd,2002,1828,0,0,1828,1,0,2,0,3,1,Gd,7,Typ,Attchd,Fin
873,2009,20,RL,70,8750,Pave,210000,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,8,1Fam,1Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,209,Gd,0,PConc,Gd,60,Av,GLQ,1111,Unf,0,306,1417,GasA,Ex,TA,1997,1417,0,0,1417,1,0,2,0,3,1,Gd,7,Typ,Attchd,Unf
874,2009,60,RL,,9375,Pave,219500,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,2,1Fam,2Story,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,573,TA,36,PConc,Gd,576,No,GLQ,739,Unf,0,318,1057,GasA,Ex,NA,1998,1057,977,0,2034,1,0,2,1,3,1,Gd,8,Typ,Attchd,RFn
875,2009,60,RL,70,8750,Pave,191000,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,7,1Fam,2Story,7,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,120,PConc,Gd,0,No,Unf,0,Unf,0,880,880,GasA,Ex,TA,1996,909,807,0,1716,0,0,2,1,2,1,Gd,7,Typ,Attchd,RFn
876,2009,20,RL,70,9100,Pave,178000,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,6,1Fam,1Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,0,PConc,Gd,356,No,Unf,0,Unf,0,1212,1212,GasA,Ex,NA,2001,1212,0,0,1212,0,0,2,0,3,1,Gd,6,Typ,Attchd,RFn
877,2009,20,RL,75,9750,Pave,213000,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,10,1Fam,1Story,7,5,2000,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,171,Gd,234,PConc,Gd,74,No,Unf,0,Unf,0,1630,1630,GasA,Ex,TA,2000,1630,0,0,1630,0,0,2,0,3,1,Gd,6,Typ,Attchd,Unf
878,2009,120,RM,,4435,Pave,144000,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,6,TwnhsE,1Story,6,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,170,Gd,0,PConc,Gd,140,Av,GLQ,685,Unf,0,163,848,GasA,Ex,NA,2003,848,0,0,848,1,0,1,0,1,1,Gd,4,Typ,Attchd,Fin
879,2009,120,RM,,4435,Pave,140000,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,5,TwnhsE,1Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,170,Gd,0,PConc,Gd,140,Av,GLQ,685,Unf,0,163,848,GasA,Ex,NA,2003,848,0,0,848,1,0,1,0,1,1,Gd,4,Typ,Attchd,Fin
880,2009,20,RL,85,10200,Pave,293200,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,1,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,180,Gd,48,PConc,Gd,0,Av,GLQ,1478,Unf,0,100,1578,GasA,Ex,Gd,2007,1602,0,0,1602,1,0,2,0,3,1,Gd,7,Typ,Attchd,RFn
881,2009,60,RL,65,9313,Pave,190000,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,4,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,56,PConc,Gd,187,No,Unf,0,Unf,0,864,864,GasA,Ex,NA,2004,864,864,0,1728,0,0,2,1,3,1,Gd,7,Typ,Attchd,RFn
882,2009,20,RL,63,8487,Pave,190000,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,8,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,210,Gd,36,PConc,Gd,192,Av,GLQ,20,Unf,0,1480,1500,GasA,Ex,NA,2004,1500,0,0,1500,0,0,2,0,3,1,Gd,6,Typ,Attchd,RFn
883,2009,60,RL,64,8633,Pave,173500,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,2,1Fam,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,35,PConc,Gd,100,No,GLQ,193,Unf,0,545,738,GasA,Ex,NA,2005,738,738,0,1476,1,0,2,1,3,1,Gd,7,Typ,Attchd,Fin
884,2009,60,RL,85,11069,Pave,170000,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,7,1Fam,2Story,6,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,36,PConc,Gd,100,No,Unf,0,Unf,0,608,608,GasA,Ex,Gd,2007,608,788,0,1396,0,0,2,1,3,1,Gd,6,Typ,BuiltIn,Fin
885,2009,20,RL,67,8777,Pave,108000,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Feedr,5,1Fam,1Story,4,5,1949,2003,Gable,CompShg,VinylSd,VinylSd,None,0,TA,96,CBlock,NA,0,NA,NA,0,NA,0,0,0,GasA,Ex,NA,2002,1126,0,0,1126,0,0,2,0,2,1,Gd,5,Typ,Detchd,Fin
886,2009,20,RL,75,9937,Pave,167000,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,3,1Fam,1Story,5,7,1964,1999,Hip,CompShg,MetalSd,MetalSd,None,0,TA,0,PConc,TA,0,No,BLQ,637,Unf,0,849,1486,GasA,Ex,NA,1968,1486,0,0,1486,1,0,1,0,3,1,TA,7,Typ,Detchd,Fin
887,2009,20,RL,67,8877,Pave,100000,Reg,Lvl,AllPub,Inside,Mod,Edwards,Norm,5,1Fam,1Story,4,6,1938,1958,Gable,CompShg,MetalSd,MetalSd,None,0,TA,0,CBlock,TA,0,Mn,ALQ,690,Unf,0,126,816,GasA,Ex,Gd,1958,816,0,0,816,1,0,1,0,2,1,TA,3,Typ,Detchd,Unf
888,2009,85,RL,64,7301,Pave,198500,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,7,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500,Gd,0,Slab,NA,0,NA,NA,0,NA,0,0,0,GasA,Ex,Ex,2003,495,1427,0,1922,0,0,3,0,4,1,Gd,7,Typ,BuiltIn,RFn
889,2009,60,RL,75,7950,Pave,159500,IR1,Bnk,AllPub,Corner,Gtl,Edwards,Norm,7,1Fam,2Story,6,6,1977,1977,Hip,CompShg,HdBoard,Plywood,BrkFace,140,TA,0,CBlock,TA,252,No,BLQ,535,Unf,0,155,690,GasA,TA,NA,1977,698,728,0,1426,0,0,1,1,3,1,TA,6,Typ,Attchd,Fin
890,2009,20,RL,80,10682,Pave,127000,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,7,1Fam,1Story,4,6,1960,1971,Gable,CompShg,HdBoard,HdBoard,None,0,TA,240,CBlock,TA,0,No,GLQ,399,Unf,0,615,1014,GasA,TA,NA,1968,1149,0,0,1149,1,0,1,0,3,1,TA,7,Min1,2Types,Fin
891,2009,80,RL,72,7200,Pave,125000,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,10,1Fam,SLvl,6,6,1976,1976,Hip,CompShg,MetalSd,MetalSd,BrkFace,255,TA,0,CBlock,TA,296,Av,ALQ,631,Unf,0,410,1041,GasA,Ex,Fa,1977,1125,0,0,1125,1,0,1,0,3,1,TA,6,Typ,Detchd,Unf
892,2009,20,RL,86,13286,Pave,320000,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,2,1Fam,1Story,9,5,2007,2008,Hip,CompShg,CemntBd,CmentBd,Stone,340,Ex,64,PConc,Ex,327,No,GLQ,1234,Unf,0,464,1698,GasA,Ex,Gd,2007,1698,0,0,1698,1,0,2,0,3,1,Ex,8,Typ,Attchd,Fin
893,2009,180,RM,35,3675,Pave,145500,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,4,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,80,TA,28,Wood,Gd,0,Gd,GLQ,547,Unf,0,0,547,GasA,Gd,NA,2005,1072,0,0,1072,1,0,1,0,2,1,TA,5,Typ,Basment,Fin
894,2009,20,RL,50,9405,Pave,118000,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,6,1Fam,1Story,5,9,1947,2008,Hip,CompShg,VinylSd,VinylSd,None,0,TA,200,CBlock,TA,0,No,Unf,0,Unf,0,698,698,GasA,Ex,NA,,698,0,0,698,0,1,1,0,2,1,TA,4,Typ,NA,NA
895,2009,20,RL,64,6410,Pave,85000,Reg,HLS,AllPub,Inside,Mod,Edwards,Norm,3,1Fam,1Story,4,5,1959,1959,Gable,CompShg,AsbShng,AsbShng,None,0,TA,0,CBlock,TA,0,No,LwQ,332,Rec,243,301,876,GasA,TA,NA,1959,876,0,0,876,0,0,1,0,3,1,TA,5,Typ,Detchd,Unf
896,2009,20,RL,70,11767,Pave,120000,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,6,1Fam,1Story,5,5,1950,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,41,CBlock,Fa,0,Mn,Rec,1078,Unf,0,0,1078,GasA,TA,NA,1950,1368,0,0,1368,1,0,1,0,3,1,TA,6,Min1,Attchd,RFn
897,2009,50,RL,50,8405,Pave,98000,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,4,1Fam,1.5Fin,4,3,1945,1950,Gable,CompShg,WdShing,Wd Shng,None,0,TA,0,Slab,NA,92,NA,NA,0,NA,0,0,0,Wall,TA,NA,1945,1088,441,0,1529,0,0,2,0,4,1,TA,9,Mod,Detchd,Unf
898,2009,30,RL,56,4060,Pave,99900,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Feedr,7,1Fam,1Story,5,8,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,96,PConc,Fa,0,No,Unf,0,Unf,0,864,864,GasA,Ex,NA,,864,0,0,864,0,0,1,0,2,1,TA,4,Typ,NA,NA
899,2009,20,RL,74,10206,Pave,82000,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,7,1Fam,1Story,3,3,1952,1952,Flat,Tar&Grv,BrkComm,Brk Cmn,None,0,TA,0,Slab,NA,0,NA,NA,0,NA,0,0,0,GasW,Fa,NA,1956,944,0,0,944,0,0,1,0,2,1,Fa,4,Min1,Detchd,Unf
900,2009,90,RL,65,10926,Pave,119900,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,8,Duplex,1Story,5,5,1959,1959,Hip,CompShg,VinylSd,VinylSd,BrkFace,74,TA,0,CBlock,TA,0,No,Unf,0,Unf,0,1678,1678,GasA,TA,NA,,1678,0,0,1678,0,0,2,0,6,2,TA,10,Typ,NA,NA
901,2009,20,RL,70,11767,Pave,103500,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,5,1Fam,1Story,5,5,1956,1956,Hip,CompShg,HdBoard,HdBoard,BrkFace,259,TA,0,CBlock,TA,0,No,Rec,546,Unf,0,604,1150,GasA,Ex,TA,1956,1560,0,0,1560,0,0,1,0,2,1,TA,7,Min1,Attchd,Unf
902,2009,20,RL,,8926,Pave,112000,IR1,Lvl,AllPub,Corner,Gtl,Edwards,Norm,10,1Fam,1Story,4,3,1956,1956,Gable,CompShg,AsbShng,AsbShng,None,0,TA,0,CBlock,TA,64,No,Unf,0,Unf,0,672,672,GasA,Ex,NA,1956,960,0,0,960,0,0,1,0,3,1,TA,5,Typ,Basment,Unf
903,2009,50,RL,67,12354,Pave,110000,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,8,1Fam,1.5Fin,6,8,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,46,BrkTil,TA,0,Mn,Unf,0,Unf,0,684,684,GasA,Gd,NA,2005,684,512,0,1196,0,0,1,0,3,1,Gd,7,Typ,Detchd,Unf
